iter	Passed	Remaining
400	28938	43227
401	29008	43151
402	29077	43074
403	29158	43016
404	29232	42946
405	29303	42872
406	29373	42797
407	29447	42728
408	29521	42658
409	29589	42580
410	29658	42504
411	29728	42428
412	29797	42351
413	29865	42273
414	29936	42200
415	30004	42122
416	30072	42044
417	30141	41967
418	30215	41897
419	30287	41824
420	30356	41748
421	30429	41678
422	30501	41606
423	30571	41531
424	30643	41458
425	30711	41381
426	30784	41310
427	30852	41233
428	30921	41156
429	30989	41079
430	31060	41005
431	31130	40930
432	31201	40857
433	31269	40779
434	31337	40702
435	31408	40629
436	31479	40555
437	31552	40485
438	31618	40405
439	31714	40363
440	31781	40284
441	31852	40212
442	31923	40138
443	31992	40062
444	32065	39992
445	32134	39915
446	32200	39836
447	32270	39762
448	32341	39688
449	32412	39615
450	32483	39542
451	32554	39468
452	32622	39392
453	32693	39318
454	32761	39242
455	32832	39169
456	32903	39094
457	32974	39021
458	33043	38946
459	33115	38874
460	33191	38807
461	33264	38736
462	33339	38668
463	33417	38602
464	33494	38536
465	33566	38464
466	33635	38389
467	33706	38315
468	33774	38239
469	33845	38166
470	33917	38093
471	33990	38023
472	34062	37950
473	34133	37878
474	34208	37808
475	34279	37736
476	34360	37674
477	34433	37603
478	34505	37530
479	34574	37456
480	34641	37377
481	34713	37305
482	34782	37230
483	34852	37156
484	34922	37082
485	34990	37006
486	35057	36929
487	35128	36855
488	35200	36783
489	35269	36709
490	35339	36634
491	35408	36559
492	35477	36484
493	35546	36409
494	35617	36336
495	35685	36261
496	35753	36185
497	35824	36111
498	35895	36039
499	35965	35965
500	36034	35890
501	36104	35816
502	36174	35743
503	36245	35670
504	36316	35597
505	36385	35522
506	36456	35449
507	36527	35377
508	36597	35303
509	36665	35227
510	36735	35154
511	36807	35082
512	36876	35007
513	36946	34934
514	37016	34859
515	37084	34784
516	37155	34711
517	37225	34638
518	37296	34565
519	37365	34491
520	37441	34423
521	37513	34351
522	37581	34276
523	37650	34201
524	37719	34127
525	37787	34052
526	37856	33977
527	37927	33904
528	37995	33830
529	38063	33754
530	38136	33683
531	38206	33610
532	38277	33537
533	38351	33467
534	38428	33400
535	38505	33332
536	38575	33260
537	38646	33187
538	38719	33116
539	38792	33045
540	38863	32973
541	38934	32900
542	39002	32825
543	39071	32751
544	39141	32678
545	39214	32606
546	39283	32533
547	39353	32459
548	39425	32388
549	39494	32313
550	39564	32240
551	39635	32168
552	39706	32095
553	39776	32022
554	39846	31949
555	39916	31876
556	39987	31803
557	40055	31728
558	40124	31654
559	40197	31583
560	40266	31509
561	40337	31437
562	40408	31364
563	40479	31292
564	40549	31219
565	40618	31145
566	40686	31070
567	40757	30998
568	40827	30925
569	40897	30852
570	40968	30780
571	41039	30707
572	41113	30637
573	41184	30565
574	41252	30490
575	41320	30416
576	41394	30346
577	41465	30274
578	41534	30200
579	41604	30127
580	41675	30054
581	41743	29981
582	41816	29909
583	41884	29835
584	41955	29763
585	42026	29691
586	42097	29618
587	42169	29547
588	42239	29474
589	42307	29400
590	42377	29327
591	42450	29256
592	42521	29183
593	42588	29109
594	42657	29035
595	42728	28963
596	42796	28889
597	42864	28815
598	42934	28742
599	43002	28668
600	43072	28595
601	43142	28522
602	43210	28448
603	43280	28376
604	43348	28302
605	43423	28232
606	43493	28159
607	43567	28089
608	43644	28021
609	43717	27950
610	43789	27878
611	43865	27810
612	43938	27739
613	44009	27667
614	44078	27593
615	44148	27521
616	44221	27450
617	44293	27378
618	44362	27305
619	44439	27236
620	44509	27164
621	44578	27091
622	44645	27016
623	44714	26943
624	44782	26869
625	44852	26796
626	44921	26723
627	44994	26652
628	45064	26580
629	45132	26506
630	45203	26434
631	45272	26361
632	45341	26287
633	45416	26218
634	45487	26146
635	45555	26072
636	45625	26000
637	45693	25926
638	45763	25853
639	45831	25780
640	45901	25707
641	45972	25635
642	46040	25561
643	46110	25489
644	46180	25417
645	46251	25344
646	46325	25274
647	46396	25202
648	46467	25131
649	46537	25058
650	46608	24986
651	46676	24913
652	46750	24842
653	46819	24770
654	46890	24698
655	46959	24625
656	47029	24552
657	47099	24480
658	47166	24406
659	47237	24334
660	47308	24262
661	47383	24192
662	47456	24121
663	47526	24049
664	47597	23977
665	47664	23903
666	47731	23829
667	47799	23756
668	47869	23684
669	47937	23611
670	48007	23538
671	48076	23465
672	48145	23393
673	48215	23320
674	48288	23249
675	48359	23178
676	48429	23106
677	48501	23034
678	48572	22962
679	48642	22890
680	48710	22817
681	48784	22746
682	48856	22675
683	48931	22605
684	49001	22533
685	49075	22462
686	49153	22394
687	49242	22330
688	49315	22260
689	49391	22190
690	49468	22121
691	49547	22052
692	49619	21981
693	49692	21910
694	49763	21838
695	49835	21767
696	49905	21694
697	49978	21624
698	50056	21554
699	50127	21483
700	50205	21414
701	50273	21341
702	50346	21269
703	50428	21202
704	50507	21134
705	50613	21077
706	50687	21006
707	50763	20936
708	50837	20865
709	50906	20792
710	50977	20720
711	51049	20649
712	51120	20577
713	51188	20503
714	51262	20433
715	51337	20362
716	51411	20292
717	51480	20219
718	51550	20147
719	51619	20074
720	51690	20002
721	51762	19930
722	51846	19863
723	51920	19792
724	51990	19720
725	52059	19647
726	52129	19575
727	52200	19503
728	52268	19430
729	52343	19359
730	52416	19288
731	52486	19216
732	52559	19145
733	52629	19072
734	52700	19000
735	52770	18928
736	52842	18856
737	52916	18786
738	52992	18716
739	53063	18643
740	53130	18570
741	53199	18498
742	53271	18426
743	53343	18354
744	53416	18283
745	53487	18211
746	53561	18140
747	53634	18069
748	53705	17997
749	53773	17924
750	53845	17852
751	53915	17780
752	53990	17710
753	54062	17638
754	54141	17569
755	54217	17498
756	54294	17428
757	54380	17361
758	54455	17290
759	54524	17218
760	54592	17145
761	54659	17072
762	54726	16998
763	54796	16926
764	54866	16854
765	54934	16781
766	55006	16710
767	55075	16637
768	55145	16565
769	55214	16492
770	55281	16419
771	55352	16347
772	55424	16276
773	55497	16204
774	55569	16133
775	55639	16060
776	55708	15988
777	55778	15916
778	55849	15844
779	55918	15772
780	55987	15699
781	56057	15627
782	56126	15554
783	56195	15482
784	56270	15411
785	56347	15341
786	56422	15270
787	56491	15198
788	56558	15125
789	56626	15052
790	56697	14980
791	56765	14908
792	56834	14835
793	56901	14762
794	56968	14690
795	57036	14617
796	57106	14545
797	57174	14472
798	57242	14400
799	57311	14327
800	57389	14257
801	57465	14187
802	57537	14115
803	57615	14045
804	57683	13973
805	57753	13900
806	57822	13828
807	57892	13756
808	57963	13684
809	58031	13612
810	58098	13539
811	58168	13467
812	58238	13395
813	58308	13323
814	58380	13252
815	58450	13179
816	58521	13108
817	58597	13037
818	58668	12965
819	58749	12896
820	58818	12824
821	58886	12751
822	58956	12679
823	59024	12607
824	59092	12534
825	59164	12463
826	59245	12393
827	59314	12321
828	59392	12251
829	59464	12179
830	59538	12108
831	59613	12037
832	59683	11965
833	59755	11893
834	59829	11822
835	59897	11750
836	59966	11677
837	60034	11605
838	60103	11533
839	60172	11461
840	60240	11389
841	60309	11316
842	60383	11245
843	60453	11173
844	60522	11101
845	60591	11029
846	60660	10957
847	60728	10885
848	60799	10813
849	60869	10741
850	60938	10669
851	61008	10597
852	61075	10525
853	61143	10453
854	61211	10380
855	61282	10309
856	61355	10237
857	61432	10167
858	61507	10096
859	61588	10026
860	61671	9956
861	61750	9885
862	61826	9814
863	61902	9743
864	61973	9672
865	62043	9600
866	62110	9527
867	62178	9455
868	62246	9383
869	62315	9311
870	62416	9244
871	62493	9173
872	62562	9101
873	62632	9029
874	62700	8957
875	62766	8884
876	62837	8812
877	62910	8741
878	62985	8670
879	63055	8598
880	63127	8526
881	63200	8455
882	63279	8384
883	63351	8313
884	63425	8241
885	63496	8169
886	63567	8098
887	63639	8026
888	63714	7955
889	63790	7884
890	63857	7812
891	63926	7740
892	64015	7670
893	64093	7599
894	64161	7527
895	64234	7455
896	64311	7384
897	64394	7314
898	64478	7243
899	64563	7173
900	64649	7103
901	64730	7032
902	64817	6962
903	64890	6890
904	64958	6818
905	65026	6746
906	65098	6674
907	65166	6602
908	65238	6531
909	65307	6458
910	65379	6387
911	65448	6315
912	65517	6243
913	65586	6171
914	65655	6099
915	65722	6026
916	65789	5954
917	65863	5883
918	65933	5811
919	66004	5739
920	66072	5667
921	66139	5595
922	66210	5523
923	66287	5452
924	66357	5380
925	66429	5308
926	66499	5236
927	66569	5164
928	66638	5092
929	66708	5021
930	66778	4949
931	66850	4877
932	66918	4805
933	66987	4733
934	67056	4661
935	67123	4589
936	67194	4517
937	67264	4446
938	67337	4374
939	67411	4302
940	67479	4230
941	67548	4159
942	67619	4087
943	67688	4015
944	67758	3943
945	67827	3871
946	67897	3799
947	67963	3727
948	68035	3656
949	68106	3584
950	68176	3512
951	68246	3440
952	68318	3369
953	68386	3297
954	68457	3225
955	68526	3153
956	68600	3082
957	68669	3010
958	68740	2938
959	68808	2867
960	68875	2795
961	68945	2723
962	69013	2651
963	69083	2579
964	69151	2508
965	69223	2436
